,GAME_ID,TEAM_ID,TEAM_NAME,GAME_DATE,FG3M,FG3A,FG3_MISSES,FG3_PCT,GAME_OF_INTEREST
0,0022000525,1610612745,Houston Rockets,2021-02-28,4,45,41,8.89,
1,0022100518,1610612738,Boston Celtics,2021-12-29,4,42,38,9.52,
2,0021800792,1610612751,Brooklyn Nets,2019-02-04,5,42,37,11.9,
3,0021900132,1610612750,Minnesota Timberwolves,2019-11-10,6,45,39,13.33,
4,0022100988,1610612742,Dallas Mavericks,2022-03-09,6,44,38,13.64,
5,0022300433,1610612739,Cleveland Cavaliers,2023-12-29,6,43,37,13.95,
6,0041900175,1610612760,Oklahoma City Thunder,2020-08-29,7,46,39,15.22,
7,0022000196,1610612738,Boston Celtics,2021-01-17,7,46,39,15.22,
8,0042100305,1610612748,Miami Heat,2022-05-25,7,45,38,15.56,
9,0041700317,1610612745,Houston Rockets,2018-05-28,7,44,37,15.91,X
10,0022100103,1610612765,Detroit Pistons,2021-11-02,8,47,39,17.02,
11,0021800271,1610612764,Washington Wizards,2018-11-23,9,46,37,19.57,
12,0022100363,1610612742,Dallas Mavericks,2021-12-07,9,46,37,19.57,
13,0022100442,1610612751,Brooklyn Nets,2021-12-18,9,46,37,19.57,
14,0022200569,1610612761,Toronto Raptors,2023-01-04,9,46,37,19.57,
15,0022000887,1610612745,Houston Rockets,2021-04-21,10,49,39,20.41,
16,0022101203,1610612765,Detroit Pistons,2022-04-08,10,48,38,20.83,
17,0021801010,1610612740,New Orleans Pelicans,2019-03-12,10,47,37,21.28,
18,0021900540,1610612751,Brooklyn Nets,2020-01-06,10,47,37,21.28,
19,0022200218,1610612742,Dallas Mavericks,2022-11-16,12,55,43,21.82,
20,0022300562,1610612751,Brooklyn Nets,2024-01-15,12,55,43,21.82,
21,0022000927,1610612738,Boston Celtics,2021-04-27,11,49,38,22.45,
22,0022300529,1610612757,Portland Trail Blazers,2024-01-11,11,49,38,22.45,
23,0021700675,1610612737,Atlanta Hawks,2018-01-20,11,48,37,22.92,
24,0021900431,1610612737,Atlanta Hawks,2019-12-21,11,48,37,22.92,
25,0021900774,1610612745,Houston Rockets,2020-02-07,11,48,37,22.92,
26,0022100270,1610612738,Boston Celtics,2021-11-24,11,48,37,22.92,
27,0022101042,1610612744,Golden State Warriors,2022-03-16,11,48,37,22.92,
28,0042100311,1610612742,Dallas Mavericks,2022-05-18,11,48,37,22.92,
29,0021701074,1610612745,Houston Rockets,2018-03-22,12,51,39,23.53,
30,0022100871,1610612750,Minnesota Timberwolves,2022-02-15,13,55,42,23.64,
31,0022000659,1610612754,Indiana Pacers,2021-03-22,12,50,38,24.0,
32,0022300178,1610612751,Brooklyn Nets,2023-11-12,12,49,37,24.49,
33,0021600743,1610612745,Houston Rockets,2017-02-02,13,51,38,25.49,
34,0021900644,1610612758,Sacramento Kings,2020-01-20,13,51,38,25.49,
35,0022200411,1610612756,Phoenix Suns,2022-12-13,13,51,38,25.49,
36,0022300125,1610612763,Memphis Grizzlies,2023-11-01,14,54,40,25.93,
37,0021900038,1610612742,Dallas Mavericks,2019-10-27,13,50,37,26.0,
38,0021900461,1610612751,Brooklyn Nets,2019-12-26,13,50,37,26.0,
39,0022200425,1610612749,Milwaukee Bucks,2022-12-15,13,50,37,26.0,
40,0022200997,1610612752,New York Knicks,2023-03-09,13,50,37,26.0,
41,0021900929,1610612744,Golden State Warriors,2020-03-05,14,52,38,26.92,
42,0021900892,1610612745,Houston Rockets,2020-02-29,15,55,40,27.27,
43,0022100138,1610612757,Portland Trail Blazers,2021-11-06,15,55,40,27.27,
44,0022100060,1610612749,Milwaukee Bucks,2021-10-27,14,51,37,27.45,
45,0022100101,1610612750,Minnesota Timberwolves,2021-11-01,14,51,37,27.45,
46,0021901304,1610612745,Houston Rockets,2020-08-12,16,57,41,28.07,
47,0022000923,1610612762,Utah Jazz,2021-04-26,16,57,41,28.07,
48,0022001066,1610612745,Houston Rockets,2021-05-16,18,63,45,28.57,
49,0021800859,1610612742,Dallas Mavericks,2019-02-13,15,52,37,28.85,
50,0042100125,1610612741,Chicago Bulls,2022-04-27,15,52,37,28.85,
51,0022300362,1610612738,Boston Celtics,2023-12-19,17,58,41,29.31,
52,0022000248,1610612756,Phoenix Suns,2021-01-23,16,53,37,30.19,
53,0022100461,1610612762,Utah Jazz,2021-12-20,16,53,37,30.19,
54,0021801145,1610612749,Milwaukee Bucks,2019-03-31,17,55,38,30.91,
55,0022200594,1610612744,Golden State Warriors,2023-01-07,18,58,40,31.03,
56,0021900026,1610612749,Milwaukee Bucks,2019-10-26,17,54,37,31.48,
57,0022100090,1610612757,Portland Trail Blazers,2021-10-31,17,54,37,31.48,
58,0021701111,1610612745,Houston Rockets,2018-03-27,18,57,39,31.58,
59,0021901290,1610612745,Houston Rockets,2020-08-09,18,57,39,31.58,
60,0022300699,1610612744,Golden State Warriors,2024-02-03,18,56,38,32.14,
61,0022200558,1610612744,Golden State Warriors,2023-01-02,19,59,40,32.2,
62,0022100274,1610612750,Minnesota Timberwolves,2021-11-24,18,55,37,32.73,
63,0022201210,1610612742,Dallas Mavericks,2023-04-07,18,55,37,32.73,
64,0021800659,1610612745,Houston Rockets,2019-01-16,23,70,47,32.86,
65,0021900752,1610612745,Houston Rockets,2020-02-04,20,60,40,33.33,
66,0021601224,1610612745,Houston Rockets,2017-04-12,19,56,37,33.93,
67,0021800753,1610612745,Houston Rockets,2019-01-29,19,56,37,33.93,
68,0041900172,1610612745,Houston Rockets,2020-08-20,19,56,37,33.93,
69,0022000157,1610612748,Miami Heat,2021-01-12,19,56,37,33.93,
70,0021901248,1610612745,Houston Rockets,2020-08-02,21,61,40,34.43,
71,0022300561,1610612739,Cleveland Cavaliers,2024-01-15,20,57,37,35.09,
72,0021700826,1610612751,Brooklyn Nets,2018-02-10,21,59,38,35.59,
73,0022200969,1610612738,Boston Celtics,2023-03-05,21,59,38,35.59,
74,0021801145,1610612737,Atlanta Hawks,2019-03-31,22,61,39,36.07,
75,0021801221,1610612751,Brooklyn Nets,2019-04-10,21,58,37,36.21,
76,0022300710,1610612760,Oklahoma City Thunder,2024-02-04,23,63,40,36.51,
77,0021800928,1610612737,Atlanta Hawks,2019-03-01,22,60,38,36.67,
78,0021800686,1610612745,Houston Rockets,2019-01-19,25,68,43,36.76,
79,0021801184,1610612745,Houston Rockets,2019-04-05,22,59,37,37.29,
80,0021800844,1610612745,Houston Rockets,2019-02-11,23,60,37,38.33,
81,0021600395,1610612745,Houston Rockets,2016-12-16,24,61,37,39.34,
82,0022200337,1610612742,Dallas Mavericks,2022-12-03,24,61,37,39.34,
